"fpr","tpr","fpr2","fpr_ci","tpr2","tpr_ci","u","l"
0.236717449750352,0.562411983100755,0.238050305309456,0.0302732912783423,0.562096025364279,0.035298633854285,0.637871226860229,0.487586756655303
0.23991806426834,0.565868646780182,0.241234716866598,0.0304123213388982,0.565535189845993,0.0352669832578521,0.643254620203031,0.492165665112636
0.241326334656254,0.568685187556011,0.242635857951741,0.0304727572129917,0.568337472016279,0.0352399101961265,0.645602247751779,0.494211122997512
0.243374727947766,0.572909998719754,0.244673881348312,0.0305598670858128,0.572540895271707,0.0351971330796685,0.648097599854166,0.496741194059642
0.245167072077839,0.575726539495583,0.246457151820312,0.0306353191481926,0.575343177441992,0.035167165884798,0.650126374917429,0.498448490470218
0.247599539111509,0.578030981948534,0.24887730460374,0.0307365801139911,0.577635953763135,0.0351417825623621,0.653039314681002,0.504056072204644
0.249647932403021,0.580463448982205,0.250915328000311,0.0308208444879806,0.580056106546563,0.0351141427656789,0.655066168805466,0.506698729184675
0.251696325694533,0.583279989758034,0.252953351396883,0.0309041952592807,0.582858388716849,0.0350810502785079,0.656853262782628,0.5077424882004
0.254768915631801,0.586224555114582,0.25601038649174,0.0310275244951808,0.58578804734942,0.0350452011375452,0.660340904027052,0.510711185485201
0.257201382665472,0.589937267955447,0.258430539275168,0.0311237300503409,0.589481964755705,0.0349981691910394,0.662387790882277,0.513756435592631
0.259121751376264,0.593393931634874,0.260341186209453,0.0311987975085605,0.592921129237419,0.03495253837591,0.664837333424795,0.516160952946412
0.261682242990654,0.596466521572142,0.262888715455167,0.0312976841917808,0.595978164332276,0.0349104803773367,0.668063090053139,0.518966794547536
0.265138906670081,0.59941108692869,0.266327879936881,0.0314290211054282,0.598907822964847,0.0348688475369738,0.671382771520215,0.523584510285286
0.26782742286519,0.602739726027397,0.269002785644881,0.031529474204811,0.602219610984275,0.0348202141610605,0.674729561713077,0.527506698274308
0.270643963641019,0.606708488029702,0.271805067815166,0.0316331342632697,0.606168281315132,0.0347600410407749,0.678445567500608,0.530574124042646
0.272436307771092,0.610549225451287,0.273588338287166,0.031698266957499,0.609989575183703,0.0346995327982114,0.680382459472875,0.534056090177041
0.275636922289079,0.614389962872872,0.276772749844309,0.0318129786375347,0.613810869052274,0.0346367738193399,0.683447688134666,0.539688832898583
0.278197413903469,0.617206503648701,0.279320279090023,0.0319032865957257,0.616613151222559,0.0345893130229448,0.686656799346675,0.542224233465449
0.280373831775701,0.61989501984381,0.28148567894888,0.0319790359679175,0.619288056930559,0.0345428696701145,0.688962484744514,0.544653050922013
0.284086544616566,0.623095634361797,0.285179596355165,0.0321061280117468,0.622472468487702,0.0344861219727489,0.693192668161768,0.54901007414144
0.286519011650237,0.626040199718346,0.287599749138593,0.0321879536155201,0.625402127120273,0.0344325080489585,0.695678756762375,0.5515781040675
0.290359749071822,0.629240814236333,0.291421043007164,0.0323148524598294,0.628586538677415,0.0343726961720291,0.700175280387728,0.557759857908101
0.292408142363334,0.632313404173601,0.293459066403736,0.0323813903215067,0.631643573772272,0.0343137640567868,0.701644329578809,0.560215938238773
0.29586480604276,0.636282166175906,0.29689823088545,0.0324918891078989,0.635592244103129,0.0342354376267198,0.704769769798872,0.563324409311625
0.29842529765715,0.638330559467418,0.299445760131164,0.0325723071919491,0.6376302674997,0.0341940331162069,0.707665314205539,0.566083856327887
0.30098578927154,0.641787223146844,0.301993289376878,0.0326515158880382,0.641069431981414,0.0341226446748873,0.710757167113095,0.569414935395884
0.303290231724491,0.644859813084112,0.30428606569802,0.0327217769493983,0.644126467076271,0.0340575792202334,0.713321315590791,0.573188825186019
0.306618870823198,0.648444501344258,0.307597853717448,0.0328215609252432,0.647693008020271,0.0339797434079518,0.717240887909168,0.57801107175193
0.30879528869543,0.650364870055051,0.309763253576305,0.0328857230725874,0.649603654954556,0.0339371877202065,0.719883517864474,0.58044621462342
0.310715657406222,0.65292536166944,0.311673900510591,0.0329416314925159,0.65215118420027,0.0338795108123134,0.72168089180766,0.58257066401365
0.315068493150685,0.657534246575342,0.316004700228305,0.0330659276250054,0.656736736842555,0.0337729803020089,0.724772372482826,0.586899721816348
0.318397132249392,0.661503008577647,0.319316488247733,0.0331587213454674,0.660685407173412,0.0336784301453035,0.727495232822593,0.590407759179864
0.321213673025221,0.664063500192037,0.322118770418018,0.0332357252737902,0.663232936419126,0.0336160364716238,0.729709337507362,0.592885053522367
0.323518115478172,0.667264114710024,0.324411546739161,0.0332977035001688,0.666417347976269,0.0335364964987543,0.732289628240217,0.59521419695042
0.326718729996159,0.669568557162975,0.327595958296304,0.0333822642604631,0.668710124297411,0.0334781564030461,0.735443959700676,0.599321378663441
0.330047369094866,0.672769171680963,0.330907746315732,0.0334683454670584,0.671894535854554,0.0333956307347949,0.739475998992822,0.60255766560001
0.333504032774293,0.676865958263987,0.334346910797446,0.033555743520907,0.675970582647696,0.0332874376110558,0.742332410466718,0.606548660688378
0.336064524388683,0.680066572781974,0.33689444004316,0.0336191822336103,0.679154994204839,0.0332008948206696,0.744908479171823,0.609919057668968
0.339137114325951,0.683011138138523,0.339951475138016,0.0336938573766876,0.68208465283741,0.0331196998353704,0.748938097826038,0.61321339304093
0.341569581359621,0.686723850979388,0.342371627921445,0.0337518588780772,0.685778570243695,0.0330151536122609,0.750586043135788,0.615423496525232
0.344642171296889,0.689668416335936,0.345428663016302,0.0338237223705627,0.688708228876266,0.0329305025271943,0.754036139995764,0.619128058627723
0.347970810395596,0.691716809627449,0.34874045103573,0.0338998196972476,0.690746252272837,0.0328707026634545,0.756794911179305,0.622616016079907
0.350531302009986,0.694277301241838,0.351287980281444,0.0339571217503996,0.693293781518551,0.032794893277535,0.758390986924874,0.625597044694722
0.353219818205095,0.696197669952631,0.353962885989444,0.0340161402404313,0.695204428452837,0.032737259083714,0.761675042988827,0.628355478215633
